frame_idx,timestamp_sec,x_pixel,y_pixel,x_mm,delta_x_mm,cell_number
115,5.1213,465.0,271.7,1.0117,-0.1103,11
116,5.1658,479.8,271.9,0.9247,-0.0871,10
117,5.2104,490.6,270.8,0.861,-0.0636,9
118,5.2549,499.5,270.8,0.8091,-0.052,9
119,5.2994,505.7,268.5,0.7724,-0.0367,8
120,5.344,510.9,268.6,0.7418,-0.0306,8
121,5.3885,514.6,268.6,0.7202,-0.0215,8
122,5.433,523.9,226.7,0.6653,-0.0549,7
123,5.4776,525.0,236.1,0.6586,-0.0067,7
124,5.5221,525.9,244.2,0.6536,-0.005,7
125,5.5666,526.1,249.9,0.6521,-0.0015,7
126,5.6112,525.9,253.5,0.6536,0.0015,7
127,5.6557,525.8,257.9,0.6542,0.0005,7
128,5.7002,526.0,262.3,0.6531,-0.001,7
129,5.7448,525.4,264.2,0.6563,0.0032,7
130,5.7893,520.9,216.2,0.6829,0.0266,7
131,5.8338,521.2,228.7,0.6814,-0.0015,7
132,5.8784,521.4,237.3,0.6797,-0.0017,7
133,5.9229,521.6,244.4,0.6786,-0.0011,7
134,5.9674,520.7,247.1,0.6838,0.0052,7
135,6.012,520.5,251.0,0.6856,0.0017,7
136,6.0565,521.3,256.4,0.6805,-0.0051,7
137,6.101,518.6,251.3,0.6967,0.0162,7
138,6.1456,518.1,251.6,0.6991,0.0025,7
139,6.1901,515.2,245.2,0.7164,0.0172,8
140,6.2346,514.7,246.1,0.7192,0.0028,8
141,6.2792,511.9,242.1,0.736,0.0169,8
142,6.3237,510.4,240.0,0.7445,0.0085,8
143,6.3682,506.8,232.2,0.7656,0.0211,8
144,6.4128,507.1,237.2,0.7639,-0.0018,8
145,6.4573,510.6,248.4,0.7436,-0.0203,8
146,6.5018,511.4,253.9,0.7387,-0.0048,8
147,6.5464,512.5,258.1,0.7323,-0.0064,8
148,6.5909,512.7,260.0,0.7311,-0.0012,8
149,6.6354,541.6,270.1,0.561,-0.1701,6
150,6.68,557.9,292.5,0.4651,-0.0959,5
151,6.7245,569.3,333.0,0.3984,-0.0668,4
152,6.769,564.6,291.2,0.4258,0.0275,5
153,6.8136,551.6,281.6,0.5025,0.0767,6
154,6.8581,542.6,277.8,0.5552,0.0527,6
155,6.9026,536.6,277.8,0.5905,0.0353,6
156,6.9472,516.7,328.4,0.7074,0.1169,8
157,6.9917,514.8,313.3,0.7188,0.0113,8
158,7.0362,532.1,249.7,0.6172,-0.1016,7
159,7.0808,524.6,244.0,0.6612,0.044,7
160,7.1253,520.3,244.7,0.6866,0.0254,7
161,7.1698,514.1,237.9,0.7229,0.0363,8
162,7.2144,511.5,238.9,0.7385,0.0156,8
163,7.2589,509.0,240.2,0.7529,0.0144,8
164,7.3034,507.5,240.4,0.762,0.0091,8
165,7.3479,506.3,241.9,0.7689,0.0069,8
166,7.3925,506.1,241.7,0.7699,0.001,8
167,7.437,517.2,266.5,0.7048,-0.0651,8
168,7.4815,534.8,249.2,0.601,-0.1038,7
169,7.5261,426.9,210.1,1.2358,0.6348,13
170,7.5706,450.5,204.1,1.0972,-0.1386,11
171,7.6151,456.3,201.0,1.0631,-0.0341,11
172,7.6597,460.3,198.2,1.0395,-0.0236,11
173,7.7042,503.8,171.0,0.7835,-0.256,8
174,7.7487,495.9,173.2,0.8302,0.0467,9
175,7.7933,489.9,174.3,0.865,0.0348,9
176,7.8378,485.2,175.8,0.893,0.028,9
177,7.8823,481.4,178.1,0.9153,0.0223,10
178,7.9269,478.8,179.5,0.9307,0.0153,10
179,7.9714,476.7,182.5,0.9427,0.012,10
180,8.0159,516.1,164.1,0.7109,-0.2318,8
181,8.0605,538.3,141.3,0.5806,-0.1303,6
182,8.105,523.0,152.5,0.6704,0.0897,7
183,8.1495,511.3,160.3,0.7396,0.0693,8
184,8.1941,502.1,165.9,0.7934,0.0538,8
185,8.2386,536.2,143.3,0.593,-0.2004,6
186,8.2831,522.1,155.3,0.6758,0.0828,7
187,8.3277,538.0,232.1,0.5826,-0.0932,6
