frame_idx,timestamp_sec,x_pixel,y_pixel,x_mm,delta_x_mm,cell_number
499,22.222,412.4,246.0,1.3213,-0.0166,14
500,22.2665,414.1,243.8,1.311,-0.0104,14
501,22.311,471.2,280.3,0.9755,-0.3355,10
502,22.3556,464.9,286.5,1.0126,0.0371,11
503,22.4001,459.8,290.7,1.0421,0.0295,11
504,22.4446,451.0,277.9,1.0939,0.0518,11
505,22.4892,448.6,282.2,1.108,0.0141,12
506,22.5337,455.4,300.8,1.0682,-0.0398,11
507,22.5782,460.6,315.1,1.0377,-0.0305,11
508,22.6228,451.2,297.1,1.0929,0.0551,11
509,22.6673,448.9,296.5,1.1065,0.0136,12
510,22.7118,447.0,295.9,1.1176,0.0111,12
511,22.7564,445.5,295.4,1.1267,0.0091,12
512,22.8009,444.3,294.8,1.1337,0.007,12
513,22.8454,443.0,294.4,1.1414,0.0077,12
514,22.89,444.4,296.9,1.133,-0.0084,-1
515,22.9345,442.6,295.2,1.1437,0.0107,12
516,22.979,441.5,294.2,1.15,0.0063,12
517,23.0236,440.6,293.5,1.1555,0.0055,12
518,23.0681,441.7,295.7,1.1489,-0.0066,-1
519,23.1126,442.8,297.8,1.1423,-0.0066,-1
520,23.1572,512.0,247.9,0.7352,-0.4071,8
521,23.2017,515.7,248.1,0.7137,-0.0215,-1
522,23.2462,489.7,261.3,0.8663,0.1527,9
523,23.2908,492.3,261.9,0.8512,-0.0151,-1
524,23.3353,494.9,262.6,0.8361,-0.0151,-1
525,23.3798,541.4,160.7,0.5625,-0.2736,6
526,23.4244,500.3,161.6,0.804,0.2415,9
527,23.4689,474.5,161.7,0.9559,0.152,10
528,23.5134,456.8,161.8,1.0601,0.1042,11
529,23.558,444.2,161.8,1.134,0.074,12
530,23.6025,434.9,161.6,1.1891,0.055,12
531,23.647,428.5,161.1,1.2266,0.0375,13
532,23.6916,334.8,149.5,1.7778,0.5512,18
533,23.7361,400.1,204.7,1.3933,-0.3845,14
534,23.7806,400.7,195.2,1.3901,-0.0032,14
535,23.8252,400.9,187.6,1.3888,-0.0013,14
536,23.8697,401.4,182.2,1.3857,-0.0031,14
537,23.9142,401.4,178.0,1.3856,-0.0001,14
538,23.9588,459.5,157.6,1.0443,-0.3414,11
539,24.0033,447.3,158.5,1.116,0.0717,12
540,24.0478,465.0,234.1,1.0115,-0.1044,11
541,24.0924,509.1,190.5,0.7526,-0.2589,8
542,24.1369,484.4,183.5,0.8979,0.1453,9
543,24.1814,465.2,178.4,1.0108,0.1129,11
544,24.226,451.6,174.6,1.0906,0.0797,11
545,24.2705,399.5,132.7,1.3969,0.3064,14
546,24.315,399.2,138.1,1.3987,0.0018,14
547,24.3596,399.8,142.7,1.3952,-0.0035,14
548,24.4041,400.0,146.4,1.3939,-0.0014,14
549,24.4486,429.1,161.6,1.223,-0.1709,13
550,24.4932,431.1,155.3,1.2112,-0.0118,13
551,24.5377,424.1,156.5,1.2522,0.0409,13
552,24.5822,418.5,157.5,1.2852,0.033,13
553,24.6268,462.7,216.0,1.0253,-0.2599,11
554,24.6713,472.9,200.1,0.9651,-0.0602,10
555,24.7158,456.6,192.3,1.0611,0.096,11
556,24.7604,446.7,203.1,1.1194,0.0583,12
557,24.8049,471.1,200.1,0.9758,-0.1437,10
558,24.8494,358.5,251.1,1.6383,0.6626,17
559,24.894,370.4,251.3,1.5684,-0.0699,16
560,24.9385,281.4,210.5,2.0919,0.5235,21
561,24.983,288.8,264.1,2.0485,-0.0435,21
562,25.0276,344.7,315.7,1.7191,-0.3293,18
563,25.0721,390.5,265.7,1.4497,-0.2694,15
564,25.1166,385.0,315.6,1.4826,0.0329,15
565,25.1612,361.6,257.2,1.6201,0.1375,17
566,25.2057,318.7,220.5,1.8725,0.2524,19
567,25.2502,247.8,254.0,2.2891,0.4166,23
568,25.2948,205.3,214.3,2.5394,0.2503,26
569,25.3393,248.1,203.1,2.2876,-0.2518,23
570,25.3838,299.7,188.4,1.9841,-0.3036,20
571,25.4284,323.7,196.0,1.8431,-0.141,19
572,25.4729,347.6,218.0,1.7023,-0.1408,18
573,25.5174,419.2,261.4,1.2812,-0.4211,13
574,25.562,416.3,309.9,1.2984,0.0173,13
575,25.6065,446.0,262.4,1.1235,-0.175,12
576,25.651,459.9,251.0,1.0417,-0.0817,11
577,25.6956,453.9,260.5,1.0773,0.0356,11
578,25.7401,496.8,280.3,0.8246,-0.2527,9
579,25.7846,534.9,219.9,0.6007,-0.2239,7
580,25.8292,538.3,192.3,0.5805,-0.0202,6
581,25.8737,560.4,230.6,0.4509,-0.1296,5
582,25.9182,561.8,264.8,0.4424,-0.0084,5
583,25.9628,578.1,244.1,0.3467,-0.0957,4
584,26.0073,559.7,301.0,0.4544,0.1077,5
585,26.0518,570.4,318.8,0.3918,-0.0626,4
586,26.0964,569.4,308.3,0.3977,0.0059,4
587,26.1409,590.0,247.1,0.2765,-0.1213,3
588,26.1854,588.5,280.2,0.2855,0.009,3
589,26.23,544.3,253.2,0.5453,0.2598,6
590,26.2745,546.0,273.6,0.5352,-0.0101,6
591,26.319,511.1,247.6,0.7404,0.2052,8
592,26.3636,396.1,299.4,1.4168,0.6764,15
593,26.4081,454.7,239.3,1.0725,-0.3443,11
594,26.4526,354.5,283.7,1.6616,0.5891,17
595,26.4972,362.9,255.4,1.6126,-0.049,17
596,26.5417,369.0,233.2,1.5765,-0.0361,16
597,26.5862,373.3,215.4,1.551,-0.0255,16
598,26.6308,378.1,202.6,1.5232,-0.0278,16
599,26.6753,440.9,191.4,1.1533,-0.3699,12
600,26.7198,430.6,183.4,1.2144,0.0611,13
601,26.7644,422.0,177.2,1.2645,0.0501,13
602,26.8089,415.9,172.9,1.3003,0.0358,14
603,26.8534,411.5,170.0,1.3265,0.0262,14
604,26.8979,408.1,167.7,1.3467,0.0202,14
605,26.9425,405.3,166.0,1.3632,0.0165,14
606,26.987,404.0,163.6,1.3705,0.0073,-1
607,27.0315,402.8,161.3,1.3778,0.0073,-1
608,27.0761,401.5,158.9,1.385,0.0073,-1
609,27.1206,400.3,156.6,1.3923,0.0073,-1
610,27.1651,399.1,154.2,1.3996,0.0073,-1
611,27.2097,397.8,151.9,1.4068,0.0073,-1
612,27.2542,396.6,149.5,1.4141,0.0073,-1
613,27.2987,395.4,147.2,1.4214,0.0073,-1
614,27.3433,394.1,144.8,1.4286,0.0073,-1
615,27.3878,392.9,142.5,1.4359,0.0073,-1
616,27.4323,391.7,140.1,1.4432,0.0073,-1
617,27.4769,415.6,241.7,1.3021,-0.141,14
618,27.5214,415.2,242.7,1.3046,0.0025,-1
619,27.5659,414.8,243.7,1.3071,0.0025,-1
620,27.6105,475.7,341.0,0.9489,-0.3583,10
621,27.655,499.8,380.0,0.8071,-0.1418,9
622,27.6995,473.7,345.9,0.9608,0.1537,10
623,27.7441,457.0,324.8,1.0586,0.0978,11
624,27.7886,478.5,358.2,0.9326,-0.126,10
625,27.8331,459.6,328.6,1.0433,0.1108,11
626,27.8777,451.4,322.9,1.092,0.0486,11
627,27.9222,445.1,318.5,1.1291,0.0371,12
628,27.9667,478.0,280.6,0.9355,-0.1935,10
629,28.0113,479.3,307.6,0.9279,-0.0077,10
630,28.0558,480.2,328.5,0.9221,-0.0057,10
631,28.1003,463.9,318.1,1.0183,0.0962,11
632,28.1449,459.7,326.1,1.0432,0.0249,11
633,28.1894,465.8,343.8,1.0069,-0.0363,11
634,28.2339,450.0,324.6,1.0998,0.093,11
635,28.2785,444.1,325.4,1.1344,0.0346,12
636,28.323,439.6,326.0,1.1611,0.0267,12
637,28.3675,436.1,326.4,1.182,0.0209,12
638,28.4121,433.2,326.5,1.1988,0.0168,12
639,28.4566,431.1,326.7,1.2111,0.0123,13
640,28.5011,429.5,325.4,1.2209,0.0097,13
641,28.5457,479.7,348.5,0.9253,-0.2955,10
642,28.5902,468.2,342.6,0.9927,0.0674,10
643,28.6347,487.4,282.9,0.8801,-0.1126,9
644,28.6793,474.2,291.5,0.9579,0.0778,10
645,28.7238,376.3,273.9,1.5338,0.5759,16
646,28.7683,387.5,284.1,1.4679,-0.0659,15
647,28.8129,363.6,298.3,1.608,0.1401,17
648,28.8574,378.2,303.5,1.5226,-0.0854,16
649,28.9019,388.8,307.0,1.4599,-0.0627,15
650,28.9465,396.9,311.0,1.4126,-0.0473,15
651,28.991,403.2,314.3,1.3754,-0.0372,14
652,29.0355,401.7,300.3,1.3843,0.0089,14
653,29.0801,400.7,289.9,1.3901,0.0058,14
654,29.1246,400.1,275.4,1.3933,0.0032,14
655,29.1691,432.3,244.6,1.2041,-0.1892,13
656,29.2137,480.4,224.7,0.9214,-0.2828,10
657,29.2582,484.0,265.8,0.8999,-0.0214,9
658,29.3027,465.0,258.7,1.0116,0.1116,11
659,29.3473,428.5,194.4,1.2267,0.2151,13
660,29.3918,428.2,191.0,1.2284,0.0017,-1
661,29.4363,327.1,257.1,1.8231,0.5947,19
662,29.4809,247.8,191.7,2.2893,0.4662,23
